stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0.28,0,0,0,0,0
21Day,1.11,0,0,4.81,0,0,0.37,0,0,0,0.37,0,0,11.84,0,0.74,0,0.74,0.37,0,0,0,0
3Month,0,0.21,0.1,5.1,0,0.1,0.62,0.42,0.94,0.1,0,1.35,0.42,0.42,0.1,0.42,0.1,0,0,0.42,0.1,0.83,0.42
22Month,0.14,0,0.82,0.96,0.27,0,0.55,0.41,4.78,0.55,0,6.15,0,0.14,0.14,0.55,0,0,0,0.27,0,0,0.27
