stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,15.5,0,0,0,0,0,0,0,0.85,0,0,2.54,0,0.28,0,0,0,0,2.54,0.85,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0
21Day,1.11,0,0,1.48,11.47,0,0,0,0,0,0.74,0,4.44,0,0,1.48,1.48,3.33,0,0,0.37,0,3.7,0,0,0,0,0,0.37,1.11,0.37,0,1.48,0,0,0,0.37
3Month,0.1,0.94,0.21,6.55,4.26,0.21,0.1,0.94,1.46,0,4.47,1.35,3.74,1.25,0.52,2.5,2.5,2.08,0.62,0,0.52,0.1,1.66,0,1.46,0.1,0,0.1,0.42,20.39,0.83,0,0,0.1,0.52,38.8,3.02
22Month,0.14,1.78,0.55,5.33,1.23,1.09,0,0.82,4.78,3.14,25.69,1.5,4.37,3.83,0.14,1.23,3.14,3.14,0.14,0.82,0.55,0,0.41,0.14,1.23,0.55,0.82,0.14,0.27,5.47,0.82,0.55,0,0.14,0.41,0,2.19
