stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0.56,0,1.41,0,0,0,0,0,0
21Day,0,0.37,0,0.37,0.37,0,1.48,0,0,0.74,0,0,0.37,1.48,0,0,0,0.37,2.96,0,0,0,0,0,0.37,0,0,0,0,0,1.48
3Month,0,3.12,0.1,3.95,0,0.1,0.21,0.21,0.21,7.59,0,1.87,12.17,1.87,0.83,0.1,1.98,5.2,2.08,0.21,0.21,0.1,0.31,0,0,0.31,0.21,3.12,1.56,0.21,16.23
22Month,0.14,4.37,0,0.96,0,0.27,0.14,0,0.14,6.7,0.41,3.69,2.32,1.23,0.55,0,0.41,3.28,2.73,0,0,0,0,0,0,0.27,0,0.14,0.27,0,7.38
