stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0.56,0,0,0,0.28,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0.37,0,0.74,0,0,0,0.37,0
3Month,0,0,0.1,1.98,0.1,0.52,0,3.02,0.52,0,1.14,0.42,0.73,0.52,0.52,0.1,0.21,0.31,0.1,0,0.21,0.1,0,0.21,0.42,4.68,0,0,0.21,14.77,0.31
22Month,0.27,0.14,0,1.78,0.27,2.05,0.27,27.33,1.23,0.55,1.91,0.14,0.27,1.37,0.68,0.55,0.14,0,0,0.14,0.55,0,4.65,0.14,0.27,8.88,0.27,0.14,0,0,0.82
