stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0.28,0,0,0,0,0,0,0,0,0.56,1.69,0.85,0,0.85,0,0,0,12.12,3.95,0,0,0.85,0.28,0,1.69,0.28,0,0,0
21Day,0.74,0,0,0.74,1.11,0,0.37,0,0,0,0,0,0,0.74,1.48,1.85,0.37,1.85,0,0.37,0,16.28,1.48,0.37,0,0.37,0,0.37,0.37,4.81,0,0,0
3Month,0.1,0.1,0.31,2.08,0,0.1,0,0.1,1.56,0,4.37,0.21,0.1,4.68,4.47,0.52,1.14,1.14,0.1,0,0.31,0.83,0,0.94,0.21,0,0.31,8.22,0.1,0,0.21,5.3,0.83
22Month,0.14,0.41,0.27,6.83,0,0.27,0,0.27,1.5,0.68,13.39,0.41,0.27,8.2,0.82,0.14,0.96,1.09,0.27,0,0.27,0.68,0,1.09,0,0,0,5.6,0,0.68,0.27,0,0.41
