stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0.28,0,0.28,5.36,0.56,0.28,0,0.28,0
21Day,0.37,0,0.37,0,0,0,0.37,0,0,0.37,1.11,1.11,0,0,0,0,0
22Month,0,0.14,0,0.14,0.14,1.5,0,0.14,0.14,0.14,0,0,0,0,0.27,0,0.14
