stage,Hatching_gland,Hepatocyte,Neural_cell,Pancreatic_cell,Retinal_cell,Retinal_cone_cell
24hpf,5,0,0,0,0,0
72hpf,0,0,0.56,0,0.28,0.85
21Day,0,0,0,0.37,1.48,5.18
3Month,0,0.1,0,0,0,0
