stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.73,12.07,20.49,0.1,1.77,0.1,23.61,3.43,12.17,2.6,0.21,428.13,0.42,2.81,2.6,3.22,0.52,0,14.04,0.31,0.42,0.94,0.42,0,0.21,2.5,1.87,0,0,0.1,0.73,1.56,2.5
22Month,0.14,3.55,4.37,0,0.14,0,4.51,2.87,10.8,0.27,0.14,64.77,0.55,0.14,1.09,0.82,0,0.27,1.64,0,0.41,0.68,0,0.27,0,0.14,0.14,0.27,0.41,0,0,0,0.27
