stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,58,0,0,0,0,0,0,0,1,0,5,0,0,0,22,0,2,0,0,0,0,0,0,0
72hpf,10.71,0.28,0,0,0,0,0,0,25.08,0,9.02,0,0.28,3.95,7.61,0.28,10.15,0,0,7.05,0,0,0,0
21Day,0.74,0.37,0.37,0,0,0.37,0.37,0,0.74,1.11,7.77,0,0,0.37,1.11,0.37,1.85,0.74,0,2.59,0,0,0,0
3Month,0.42,0,0,0.21,0.21,0,0,0.1,0.1,0.31,10.19,5.2,0.31,0,0.1,0,0.21,0.21,0.62,0.21,0.1,0.1,0.42,0.1
22Month,0,0,0,0,0.55,0,0.41,0,0,0,1.09,0.14,0,0,0,0,0,0,0.14,0.14,0,0,0,0
