stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Retinal_cell
72hpf,0.28,0,0,0,0,0,0.28,0.28,0,0.28,0,0,1.13,0.28,0,0,0.28
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0.37,0
3Month,0.31,0.1,0,0.1,0.21,0.62,0.1,0,0,0.1,0,0.1,0,0.1,0.1,0,0
22Month,0,0,0.27,1.5,0.27,1.09,0,0,0.14,0,0.14,0,0,0,0,0,0.55
