stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0.85,0.28,0,0,0,0,0,0,0,0.28,1.41,1.41,1.13,0,0,0,0,4.23,3.95,0,0,1.13,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.31,0.31,4.37,0,0,0.1,2.08,5.51,0,7.59,8.11,0.62,3.02,0.52,2.08,5.72,1.04,0.21,0.1,1.66,0.31,0.21,0,0.31,0.31,0,0.83,0.73,0.1,0.31,5.2
22Month,0.14,1.64,0,2.87,0,0,0.14,0.55,6.42,0.55,8.06,3.28,0.82,2.73,0,0,3.83,1.5,0,0.27,0.55,0,0.27,0,0.27,0,0,0,0,0.14,0,1.64
