stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,2.25,0,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0,0,1.41,4.51,9.86,0,0,0,0,2.25,1.13,0,0,0,4.79,0,0,0,0,0,0.56,0,0,0
21Day,2.22,2.96,0,1.85,0.37,0.74,0,0.37,0,0,0.74,0,0,2.59,9.25,0,0.37,1.11,26.27,41.44,0,0,4.07,0,2.59,1.11,0,0,0,3.7,1.85,0,0,0.37,0.74,2.22,0,0,13.32
3Month,0,5.51,0.1,2.29,0,0,0.42,0,0.1,0.1,2.29,0.1,3.12,24.76,0.52,1.14,0.1,0.62,35.68,6.55,0.31,0,1.25,0.21,0.21,0.21,0,0.21,0,0,0.21,0.1,1.87,0,0,0,0.73,20.91,23.92
22Month,0.14,21.18,0.14,1.09,0,0,0,0,0,0,9.02,0.14,4.65,6.83,1.5,0.41,0.14,0.27,32.93,2.87,0.14,0.14,0.55,0,0,0,0.14,0,0.14,0,0.14,0,0.55,0.14,0,0.14,0,0.14,13.12
