stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,1.13,0,0,6.76,0.56,0,0.56,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,1.85,0,0,1.85,0.37,0,0.37,0,0,0
3Month,0,0.1,0.1,1.04,0,0.1,0.62,0,0,0.31,0.21,0.31,0.1,0.73,0.21,0,0.1,0,0.1,0,0.21,0.42,0.1
22Month,0,0.14,0.14,0.14,0.14,0.27,1.5,0.27,0.14,0.82,0,0,0.14,0.82,0.14,0.14,0,0,0,0,0.41,0,0
