stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,1.11,0.37,0,0,0,0,0,0,0,0.37,0,10.73,0,0,0,0,0,0,0,0,0
3Month,0.1,6.97,0,0.1,0.21,0.21,0.42,0.73,0.21,0.31,0.42,0.52,6.03,0.31,0,0.1,0.1,0.42,0.21,0.52,0.1,0.1
22Month,0,1.23,0,0,0,0.14,0.96,0,0,0.14,0.14,0.27,0.68,0.14,0.27,0,0,0,0,0.14,0,0
