stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,1.13,0.28,0.28,0,0,0,0,0,0,0.28,0.56,0,1.13,0,0,0,122.32,6.76,0,0.28,0.56,0,0,1.41,0,0,0.28,0,0
21Day,0.37,0,0,1.48,0,1.85,0,0.37,0,0,0,0.74,0,1.11,0.37,0.74,0,0,0,58.46,1.48,0.37,1.11,0,1.85,0.37,0,0.37,0.74,0.37,0,0
3Month,0.1,0,0.1,1.25,0,0,0.73,0,1.56,0,0,1.66,0.21,0.21,0.1,0.73,0.1,0.21,0.62,0.52,0,0.73,0.1,0.1,0.31,8.01,0.21,0,0,0,9.67,0.21
22Month,0,0.14,0.14,0,0,0,0.14,0.14,1.09,0.14,0.14,0.14,0,0,0.55,0.14,0,0,0,0,0,0,0.14,0,0,0.27,0,0,0,0,0,0
