stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0.74,0,0.37,0.74,0,0.37,0,0.37,0,0,0,1.48,0,0,1.85,2.96,0.37,0,0,0,0,0.37,0,0,0.37,0,0,0,0.74
3Month,0,0.21,0.94,0,0.21,0.1,0.21,0.42,0,3.22,0.52,0.21,0.62,0.52,0.42,25.07,0.73,0.31,0,0.21,0,0.1,0.1,0.21,0,0.31,0.31,0.31,5.1
22Month,0,0.27,0.55,0,0,0,0.14,1.09,0.82,11.89,0.27,0.41,0.68,0,0,39.08,0.96,0,0.14,0,0.14,0,0,0.27,0,0.27,0.41,0,2.87
