stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,5,0,0,0,0,0,0,0,0,1,0,1,10,0,0,0,0,2,63,0,0,0,6,0,0,0,0,1,0,0,0
72hpf,0,6.76,0.28,0.56,0,0,0,0,0,0,0,8.46,0,6.2,0,0,0,0,5.64,15.78,0,0.85,0,3.38,0,0,3.1,0,1.97,0,0,0
21Day,0,2.22,0,0.37,0,0,0,0,0,0,0,0.74,0,3.33,0,0,0.37,0,1.85,7.4,0,0.74,0,2.59,0.37,0,1.48,0.37,1.11,0,0,0
3Month,0,3.33,0,0,0,0.52,0,1.04,0.21,0.42,0.1,3.02,0.31,4.68,1.77,0,0.21,0.21,0,0.52,0.1,1.77,0,0.31,0,0.1,0.21,0,0.31,0.1,0.52,0.52
22Month,0.14,1.5,0,0,0.14,0.14,9.16,1.23,0.41,0,0.14,1.09,0.27,3.83,0.27,0.27,0.14,0,0,0,0.14,0,0.27,0,0,0.14,0,0,0,0.27,0,0
