stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,1.69,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0.28,0,1.13,0.56,0,0,0,0,0
21Day,1.85,0,0.74,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0.37,1.11,0.74,0.37,0.37,0,0
3Month,0,0.1,1.46,0.1,0.1,0,0,0.62,0,0.1,0.42,0,0,0,0.1,0,0,0,1.98,0,0,0.21,0.1
22Month,0,0,0.55,0.14,0.14,0.68,0.55,16.67,0.55,0.14,0.96,0,0.14,0.68,0.41,0.27,0.14,0,0.27,0,0,0,0.14
