stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell
21Day,0,0.37,0,0,0,0.37,0.37,0
3Month,0,0,0.1,0,0.31,0,0.21,0
22Month,0.14,0.41,1.64,0.27,0.41,0.55,0,0.14
