stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,1,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.13,0.28,0,0,0.28,0,0,0,0,0,0.56,1.13,10.71,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0
21Day,0,1.85,0,0,0,0.37,0,0,0,0,0,0.37,0.37,7.03,0,0,0,0,0,0,0,0,0.37,0.74,0,0,0
3Month,0,1.04,0,0.1,0.1,9.67,0,1.25,3.12,0,0.31,0.1,0.31,10.92,0.31,0.1,0,0,0,0.1,0.1,0.1,0,0,0,0.31,0.31
22Month,0.27,1.5,0,0.55,0.27,20.77,0.27,4.92,2.32,0.55,0.68,0,0.14,19.81,0.41,0,0.41,0,0,0,0,0,0,0,0.14,0,0.14
