stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0,0
21Day,0,1.11,0,0.74,0.37,0.37,0,0.37,0,0,0,0,0.37,0,0.74,0,0,0.74,0.37,0,0
3Month,0,0.1,0.1,0,0,0.21,0.1,0.62,0.1,0.1,0.21,0.1,0,0.21,0,0.1,0,0,12.27,7.07,0.21
22Month,0,0.14,0,0,0,0.14,0,0.27,0,0,0.14,0.14,0,0,0.14,0.14,0,0,10.11,0.14,0
