stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.85,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.85,0,0,9.58,1.13,0,0.28,0,0,0,0,0
21Day,0.74,0,0,0.74,0.74,0,0.37,0,0,0.37,0,0,0,0,0,0,1.48,0.37,2.59,0,0,5.18,0.37,0,0.37,0.37,0,0.37,0,1.48
3Month,0,0.21,0,2.29,0,0,0,0.1,0.62,0.94,0,1.14,0.62,0.21,1.56,0.21,0.21,1.04,0.21,0,0.21,0,0,0,0,0.1,0.42,0,0.31,1.46
22Month,0.14,1.09,0.14,1.37,0,0.14,0,0,0,0.68,0.14,5.06,0.55,0.27,4.51,0.14,0.27,0.68,2.87,0.14,0,0,0,0.41,0,0,1.09,0,0,0.14
