stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.31,0.31,0.31,7.07,0.31,0.1,1.35,1.98,0,12.27,2.7,5.3,0.62,1.35,1.77,2.08,0.21,0.21,0.94,0.83,0.21,0.1,0.52,0.31,0.1,1.66,0.1,6.87,0.21,0.73,248.6,2.18
22Month,0,0,0,0,0,0,0,0.55,0.27,1.91,0,0.27,0,0.27,0.14,0,0,0.41,0,0,0,0,0.14,0.14,0,0,0,1.78,0,0,0.55,0.14
