stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,0,1,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0,0.56,10.99,1.13,0,0.56,0,0
21Day,0,0,0.37,0,0,0.37,0,0,0,0,0.37,0.37,0.74,7.77,1.48,0.37,0,0,0
3Month,0,0.1,1.35,0.1,1.87,0.1,0.21,0.21,0.73,0.1,0.1,0.1,0.21,0.31,0,0.31,0,0.73,2.6
