stage,Endothelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,1.13,0,0,0
21Day,0,0,0.37,0,0,0,0.74,0.37,0,0
3Month,0.1,0.31,0,0,0,0.1,1.04,0.1,0.1,0.31
22Month,0,0.41,0,0,0.14,0,0.68,0,0,0.14
