stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.74,0,0,0,0,0,0.74,0.37,0,0,0,0.37,0.37,0,4.44,0,0,0.74,0
3Month,0.62,2.29,1.25,20.6,0.83,0.1,0.1,2.6,5.93,30.37,6.66,0.52,12.79,2.39,5.3,9.57,7.07,1.25,0.31,1.98,2.39,1.14,0.52,1.35,0.83,0,0.1,4.78,0.1,189.31,0.83,3.74,663.94,4.99
22Month,0,0,0,0,0,0,0,0,0.14,1.5,0,0,0.14,0,0.14,0.55,0.14,0,0,0,0.14,0,0,0.14,0,0.27,0,0,0,17.35,0.14,0,1.64,0.14
