stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.56,0.28,0,0,0.28,0,0,15.78,9.58,0,0
21Day,0,1.85,1.85,0,0,0,0,0,0,0.37,0,0.37,0.37,0.74,2.22,0.74,8.88,1.48,0,0.74,1.85,0.37,0,44.03,115.44,0.74,0
3Month,0,0,0,0.1,0,0,0,0.1,0,0,0.1,0.1,0,0.21,0,0,0.1,0,0,0,0,0,0.31,0.31,0,0,0
22Month,0.14,0.41,0,0,0.14,0.55,0.55,4.78,0.27,0,4.51,0,0,0.27,0.41,0,0,0,0.14,0,0,0,0,25.83,0,0.27,0.14
