stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,0,3,230,0,0,1,0,0,0,0,0,0,0
72hpf,16.07,0.85,0,0,0,0.85,0,0,0,0,0,0,0,1.13,1.41,0,37.2,0,5.07,4.51,0,0,1.97,0,0,0,0,0.28,0,0
21Day,45.88,0,0,1.85,0.37,2.22,0,0,0.37,0,0.37,0.74,1.48,0,0.74,0,38.11,0,2.22,2.96,0.37,0,1.11,0.37,0,0.37,0.74,0.74,0,0.37
3Month,0.62,0,0.1,0,0,0,0,0.1,0.21,0.42,0,0.1,0.1,0,0,0,0.42,0.1,0,0,0,0,0,0,0.94,0.1,0,0,0.31,0.1
22Month,0,0,0,0,0,0,0.14,0.14,0.14,0.55,0,0,0.14,0,0,0.14,0,0,0,0,0,0.14,0,0,0.68,0.96,0,0,0,0
