stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,4,0,0,0,0,0,0,6,3,3,0,1,0,2,9,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,0,0,0,0,0,4.23,1.69,0.85,0.28,0.85,0.85,2.82,0.85,0,0,0.56,0,0,0,0.28,0,0.28,0
21Day,0.37,1.48,0.37,0,0,0,0.37,0.74,14.06,0,0.37,0.37,1.11,0,1.11,0.37,0,0,1.11,0.74,0,0.37,0,0.37,0,0.37
3Month,0.1,0.94,0,2.81,0.1,0.1,0,0,0.42,0.21,0,0.1,0.31,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1
22Month,0,0.14,0,0.27,0,0.14,0,0,0.55,0,0,0,0,0.27,0,0,0.14,0.27,0,0,0.14,0,0,0,0,0
