stage,Endothelial_cell,Epithelial_cell,Granulocyte,Immune_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,T_cell
24hpf,0,0,0,0,0,1,0,0,0
21Day,0,0,0,0,0,0.74,1.48,0,1.11
3Month,0.1,0.1,0.62,0.83,0.1,0,0.1,0.1,1.04
