stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0.56,0.28,0,0,0,0,0,0.28,0.56,0,0,0,0,0
21Day,0,1.11,0.37,0.37,0,0,0,0.74,0.37,0,0,0,0,1.11
3Month,0.21,0.73,0,0,0.1,0.31,0.1,0,0,0.21,0.1,0.1,0.1,0.21
