stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,3,0,16,1,0,0,0,0,0,0,0,0,0,2,3,2,27,0,0,0,1,6,179,0,0,2,0,0,0,0,0,2,0,0,0
72hpf,9.3,3.1,0,7.89,0.85,0.85,0,0,0,0,0.28,0,0.28,0,2.54,16.35,2.54,41.43,0,0.28,0.56,1.13,92.16,51.86,0.28,0.85,40.3,0.28,0,18.32,0.56,0.56,3.66,0,0,0
21Day,7.03,1.11,0,31.82,1.11,4.07,0,0.37,0.37,0,0.74,0.37,1.48,1.48,0.37,18.13,5.92,35.89,0,0,5.55,0,22.2,12.95,0,0.37,17.76,2.59,0,4.81,0.74,1.48,0,0,0,1.85
3Month,0,0.94,0.21,6.45,0.31,0,0.31,0.83,0.1,0,13.83,0.1,0.1,3.02,0,0.94,4.37,2.39,0.73,0,0.1,0.42,0.42,0,0.52,0,0.21,0,0.73,0.1,0,0,0,1.46,0.21,0.94
22Month,0,1.09,0.27,4.92,0,0,0,0.82,0.55,1.37,19.54,0.14,0.14,3.42,0,0.68,5.47,3.28,0,0.27,0.14,0,0.55,0,0.14,0.41,0,0,0.14,0,0.14,0,0,0.14,0,0.96
