stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0,13,69,0,0,1,0,0,0,0,0,0
72hpf,0.85,0.28,0,2.82,0,0.56,0,0,0,0,0,0,0,0,1.13,2.54,0,5.64,0,0,0,0,5.36,1.69,0,0,6.76,0,0,1.41,0,0,0
21Day,1.48,0.37,0,7.77,0.37,0.37,0,0,0,0,0,0,0.74,1.11,0.37,0.74,2.59,12.58,0,0,0.37,0.37,7.4,1.48,0,0.37,4.81,1.85,0,1.11,0.74,0,0.74
3Month,0.1,0.94,0.42,2.39,0,0,0.42,0.21,0.83,0.21,24.55,0.42,0.1,11.34,1.14,3.54,2.39,6.03,1.25,0,0.42,0.21,0.42,0,0.31,0,0.21,0.62,3.02,0.42,0,0.42,2.29
22Month,0,0.55,0.14,0.41,0,0,0,0.14,0.27,0.27,19.81,0.14,0.14,2.05,0,0,1.37,2.73,0,0.14,0,0,0,0,0,0,0,0,0.14,0.27,0,0,0.41
