stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,0,3.1,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0.74,0.74,0.37,0,0,0,0,0,0,0.37,0.74,1.11,0.37,0.37,0.74,0.74,0,0,0,0,1.48,0.74,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.1,0.42,2.81,8.63,0,0.21,0,8.95,1.35,0,31,1.04,0,56.17,0.62,1.14,2.81,2.18,0.62,0,1.14,0.52,0.52,0,1.77,0.21,0,0.21,1.56,2.6,0.21,0,0.42,0.62,1.46
22Month,0.14,2.32,1.64,7.24,0,0.55,0.14,5.06,1.37,0.55,54.11,0.27,0,47.01,0,0.96,4.37,4.37,0.14,1.37,0.96,0,0,0,1.64,0.82,0.55,0.27,0.27,2.05,0.27,0.14,0.27,0,1.09
