stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0.85,0.28,0.28,0,0,0,9.3,3.1,0,0,0.28,0,0.56,0,0
21Day,0.74,0.37,0.37,0.37,0,0,0,0,0,0.74,0,0,0,0,1.48,0,0.37,0,0,0,5.55,0,0,0.37,0,0,0,0,0.37
3Month,0,0.1,0,0.42,0,0,0.1,0,0,0.31,0.1,0,0,0,0,0.21,0,0,0.1,0.1,0,0,0.1,0,0,0.1,0,0.31,0.1
22Month,0,0.14,0.27,0.41,0,0.27,0,0.55,0.14,4.37,0.68,0.27,1.09,0,0,0.27,0.55,0.27,0.14,0,0,0,0.14,0.14,0,0,0.14,0,0.27
