stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.66,1.97,0,2.82,1.13,2.82,0,0,0,0,0,0,0,0.28,0,2.25,6.48,0,11.56,0,0.28,0.28,0.28,111.33,20.86,0,0.56,10.15,0.56,0.28,1.69,42.28,53.83,0.85,0,0
21Day,19.24,1.85,1.85,68.45,2.96,46.62,0,8.88,0.74,2.22,0,9.25,3.7,15.91,10.36,4.07,41.44,11.47,68.45,0,0,7.03,0.74,87.32,37.37,0.74,2.22,30.34,17.02,0.74,6.29,85.47,347.05,3.7,0,9.25
3Month,0,0,0,0,0,0,0,0,0,0.1,0,0.42,0.31,0,0.21,0.1,0.31,0.1,0.21,0.1,0,0,0,0.31,0.1,0,0,0,0,3.33,0,0.1,0.1,0,0.31,0
22Month,0,0.27,0.14,0.55,0,0,0.27,0,0.14,0.27,0.14,7.11,0.14,0,0.41,0,0.14,0.41,0.27,0,0,0,0,0,0,0,0.14,0,0,0.27,0.14,0.96,0.14,0,0,0
