stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,18,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,4.23,2.25,0,0.28,0,0,0.28,0,0,0
21Day,0.37,0,0.74,0.37,0.74,0.37,0,0,0,0.37,0,1.11,0,0,0.74,0,2.96,0,0,0.74,1.11,0,0.74,0,0,0.37,0,0,0
3Month,0,0.52,1.77,0,0,0,0.1,0.21,0.21,0.94,0.42,0.1,0.52,0.1,0.83,0.42,0.31,0,0,0.1,0,0,0,0.31,2.81,0.1,0.21,7.7,0.31
22Month,0,0.14,0.55,0,0,0,0,0,0.27,1.64,0.14,0,0.68,0,0.14,0.14,0.27,0.14,0,0,0,0.14,0,0,0.14,0.14,0,0,0.14
