stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,6,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,1.69,1.13,0,0,0,0,0,0,0,0
21Day,1.11,0,0.74,0,0.74,0,0.37,0,0,1.11,0,0.37,0,0,0,0,0.37,0,0,0,1.11,0.74,0,0,0,0,0,0,0,0
3Month,0.1,0.42,2.08,0.21,0,0.42,0,0.42,0.1,37.13,0.31,0,1.14,0,0.73,0.62,1.14,0.62,0,0.42,0.21,0,0.31,0,0.31,0.73,0.21,0.31,0.21,0.21
22Month,0,0,0.27,0,0,0.41,0,0,0.27,15.3,0.14,0,0.68,0.14,0,0.41,1.37,0,0.68,0.55,0.14,0,0.27,0.14,0,0.14,0.14,0,0,0.14
