stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0.85,0.85,0.28,0,0.28,0,0,0,0,0,0,0,0,0.85,0.85,0,0.28,0,0.28,0,82.86,4.51,0.28,0.85,0.28,0,0,0.85,0,0,0,0,0
21Day,0.37,0,1.48,0.74,0.37,0,0,0,0,0,0,0,0,0.37,0.37,1.48,0.74,0,0.37,0,0.37,0,51.8,1.48,0,2.96,0.37,0.74,0,0,0,1.11,0,0,0.37
3Month,0,0.1,1.04,0.21,0,0,0,0.1,0.1,0.31,0,2.18,0.31,0,0.52,2.5,0.42,0.1,0.73,0.1,0,0.21,0.42,0,0.1,0.73,0.1,0.31,0.21,0,0,0,0.21,0.31,0.1
22Month,0.27,0.41,0.55,0,0,0.27,0,0,0,0.14,0.14,9.84,0.14,0.14,0.27,1.09,0,0.27,0.96,0,0.14,0,0.14,0,0.14,0.27,0,0,0.14,0,0.14,0,0,0,0.27
