stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.56,0,1.13,0,0,0.85,0.56,0,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0,1.11,0.37,0,0,0,0
3Month,0.1,0.52,0.1,56.17,0,0.31,1.04,1.46,0,0,51.59,1.66,4.16,2.6,2.08,1.25,3.02,0.94,0.21,1.25,2.91,0.21,0,0.73,0.42,0,0.1,1.56,92.47,0.21,0,0.62,196.59,0.94
22Month,0,0.14,0.55,7.52,0,0.14,0.14,0.96,0.27,0,56.85,0.27,0.68,0.27,0.14,0.14,1.37,0,3.42,0.41,0.27,0.14,0,0.14,0.41,0.14,0,0,2.32,0,0.14,0,0.14,0.14
