stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0.74,0,0.37,0.74,0,0,0,0.37,21.83,0.74,0.74,0.74,0.74,0.37,1.85,0,0,0.74,0.74,0.37,0.74
3Month,0,0,0,0.31,0,0,0.1,0.21,0,0,0,0.1,0,0,0,0,0,0,0,0,0.73
22Month,0,0.14,0.14,0.14,0.14,0.14,0,2.73,0,0,0,0.14,0.27,0.14,0,0.68,0.14,0.14,0,0,3.14
