stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,13.53,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0.28,0,0.28,0,1.13,0,0,0.28,0.28,0,0,0,0,0
21Day,67.71,0,0.74,0.37,1.85,0,0,0,0,0,1.85,0.37,0,1.11,0,3.33,0.37,0,2.22,0.74,0.37,0,0,0.37,1.11,0.37,0.37,0.74,1.11,0,0,0,1.85
3Month,2.08,0.31,0.73,0,0,0.21,0.21,0.31,0.83,0.1,0.21,0.42,0.1,0.21,1.77,0.52,0,0.21,0.21,0,0.21,0,0,0,0.31,5.82,0,0,0,0,0.1,2.08,8.22
22Month,0.14,0.14,0.41,0,0,0.27,0,0.27,3.14,0.27,0.14,0.27,0,0,0.55,0.14,0,0,0,0,0,0,0.14,0,0,1.91,0,0,0,0,0,0,1.64
