stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Pancreatic_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0
21Day,0.74,0,0,0,0,0,0.37,0,0
3Month,0.73,0.31,0,0,0.1,0,0,0.1,0
22Month,0.14,1.23,0.14,0,0,0,0,0,0.14
