stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0.28,0,0,0,0,0
21Day,0,0,1.11,0,0.74,0,0,0,0,0,0,0,0,0.37,4.81,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0.74
3Month,0,0.31,5.82,0,0,0.31,3.74,0.21,0,1.87,1.04,0.52,0.31,0,2.08,1.77,1.56,1.66,0,0.1,0.62,0,0.52,0,0,0.31,0.31,0,0.52,1.77
22Month,0.27,1.91,3.55,0.14,0,0.27,6.15,0.82,1.78,73.79,0.96,1.23,1.91,0.27,0.82,2.73,1.23,0,0.27,0.27,0.14,0.27,0.68,0.14,0,0,0.82,0.14,0,2.32
