stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,1,0
72hpf,0.56,0,0,0,0,0,0,0
21Day,1.11,0,0,0,0,0,0,0
3Month,0,0.21,0.1,0.1,0.1,0.1,0,0.1
