stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,18,0,0,0,0,0,11,0,0,0,0,0,0,6,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.56,2.54,5.92,0.85,0,0.28,0,0,0,0,0,0,0.85,2.25,3.66,2.25,0,0,0,0,159.81,8.17,0.28,0.28,3.95,0,0,0.28,2.25,0.85,0.56,0,0,0
21Day,1.11,0,3.33,7.77,2.22,0,0,0,0,0.37,0,0.74,0.37,0.37,1.85,1.11,3.7,0,0.37,1.85,0,50.69,4.44,0,0.37,0,2.59,0.37,0,7.03,31.82,0,0,0,0.74
3Month,0,0.21,1.35,1.46,0,0.1,1.14,0,0,1.66,0.42,0.1,0.31,0.42,0.31,0.42,10.92,4.89,0,0.21,0.1,4.47,0,0,0,0.1,0,8.53,0.21,0,0,0,0.1,0.1,0.1
22Month,0,0,1.64,0.68,0,0.27,0.82,0.27,0,8.06,0.14,0,0.27,0,0,3.96,26.37,1.23,0.27,0.14,0,2.32,0,0.55,0,0,0.41,4.51,0,3.14,0,0,0,0,0
