stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,31.82,0,0,0,0,0,0.37,0,0,0.37,1.48,9.25,0,1.85,0,0,2.22,0.74,0,0.37,0.37,0.37,0.37,0,0.74,0.37,0,0,0
3Month,0,0.1,0.31,32.77,0.21,0.1,0.1,0.31,0.94,1.46,1.35,0,1.04,16.12,1.35,0.62,0.62,0.1,1.77,0.42,0,0.1,0,0,1.35,0.1,0,0,0,0.1,0.73,0.1
22Month,0,0,0,26.37,0.14,0,0,0.14,1.37,2.32,0.27,0.14,0.41,0.68,0.14,0.55,0.68,0,0,0,0,0.14,0,0,1.37,0,0.14,0,0,0.14,0,0.27
