stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,2,2,2,3,0,0,1,152,0,1,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0.85,1.41,0,0,0,0,0,0,0
3Month,0,0.31,0,0.1,0,1.14,0.1,0.1,0.1,0.21,0,0.1,0,0.31,0,0.1,0.21,0,0.1,0.21,0.1,0.31,0
22Month,0.14,0.27,0.27,0.55,0.27,3.55,0.14,0.27,0,0,0.14,0.55,0.41,0.27,0,0,0,0,0,0.14,0,0,0.27
