stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0.28,0.28,0,0,0,14.37,0.28,0.56,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0.37,0,0,0,9.25,0,0,0.37,0,0,0
3Month,0,0,0.1,0,0,0.31,0.21,0,0.1,0.1,0.1,0,0.21,0,0,0,0.21,0.1,0.1
22Month,0,0.14,0.14,0,0.14,1.23,0.55,0,0,0.14,0.14,0.14,0.14,0,0,0,0,0,0
