stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0.37,0,0,0,0.37,0,0,1.11,0.37,0,0,0,0,0,0,0,0,0
3Month,0,0.1,0.31,0.42,0.1,2.39,6.35,0.31,0.1,0.1,0.52,0.1,0.1,0.62,0.1,0,0.1,0.1,0,0,0.21,0,0.1,0
22Month,0.14,0,0.96,0.82,0.27,1.64,41.13,17.22,0.27,0,1.78,0,0,6.01,0.82,0.27,0.27,0.14,0.14,0.14,0,0.14,0,0.14
