stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0
3Month,0.73,0.1,0.21,0.1,0,0.21,0.1,0.1,0.1,1.87,1.56,0.1,0.94,0.73,0.21
22Month,0,0,0.27,0,0.41,0,0,0,0,0,0.14,0,0,0,0
