stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,2.22,0,0,0,0.37,0,0.37,0.37,0.37,0,0,0,0,0.37,0,0.37,0.74,0,1.48,0,0
3Month,0.94,0.1,0.21,0,2.39,0.42,2.5,0.1,0.1,0.31,0.1,0.21,0.62,0.1,0,4.26,0,0.31,8.84,3.64,0.1
22Month,0.41,0,0,0.14,4.92,0,1.23,0,0,0.41,0,0,0,0.14,0.14,0.96,0,0,0.82,0,0
