stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0.56,1.69,0.56,0.56,0,0,0.56,0,0.28,0.56,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0
21Day,1.48,0.37,0,3.7,1.48,0,0,0,0,0,7.03,0,1.11,8.88,0.74,0.74,0,1.11,0,0,0.37,0,0.37,0,0,0,0.37,0.74,0.37,0.37,0,0.37,4.44,0,0,0.37
3Month,0,0.73,1.14,5.41,0,0.52,0.1,0.52,1.77,0,284.28,1.46,0,49.62,0.94,1.14,0.73,2.18,0.73,0,0.83,0.73,0.62,0.31,0.42,0,0,4.47,0.62,0.21,0,0,0.1,0.1,0.52,0.52
22Month,0.68,2.46,3.28,4.24,0,0.82,0,1.78,2.05,1.64,1078.98,1.23,0.41,59.31,1.09,1.09,2.6,4.37,0,11.07,1.09,0,0.14,0.96,0.82,2.46,0,1.23,0.27,0,0.68,0,0.41,0.14,0,1.78
