stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,1.41,0,0.28,0,0.56,0,0,0
21Day,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0.74,0,0,0,0,0,0,0,0
3Month,0,0.1,2.81,0.21,0.1,0,0.21,0,1.46,0.21,0.21,0.21,0,0.1,0.31,0.21,0.1,0.21,0,0.1,0,1.35,0,0.1,43.69,0.1
22Month,0.14,0,0.41,0,0,0,0,0.14,0.82,0,0.14,0,0,0.14,0,0,0,0,0,0,0.14,1.09,0,0,0.27,0
