stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,20,0,0,2,7,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,0.28,0.56,0.28,0,0,0,0,0,0,0,2.25,1.69,0,4.79,1.69,0,55.81,2.54,1.41,0.28,0,3.38,0,0.28,0.85,0.56,0,0,0
21Day,0.37,0,2.22,0,0.37,0,0,0,0,0,0,0,2.96,0,0,0.74,0,0,9.99,0.37,1.11,0,0,1.11,0.74,0.74,0,3.7,0.74,0,0
3Month,0,0.1,1.87,0.21,0,0.1,1.98,0.1,0,2.5,0.31,0.1,1.04,0,0.31,0.62,0.1,0.1,0.1,0,0.73,0.1,0,0,0.1,2.39,0,0,0,0.42,0.1
22Month,0,0,0.55,0.14,0,0,0.55,0.27,0.14,3.55,0,0.96,0.55,0.55,0,0.14,0,0,0,0,0.27,0,0.14,0,0,2.32,0.27,0.14,0,0,0
