stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,3.1,0.28,0,0,0,0,0,0,0,0,0.56,1.41,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0.74,0.37,0,0,0,0,0,5.92,0,0,0.37,2.22,0.37,0,0,1.48,1.11,0,0,0,0.37,0
3Month,0,0.1,0.1,1.77,0.31,0,0.31,1.46,0.31,2.39,0.31,1.66,0.31,0,0.52,1.46,0.42,0,0.1,0,0.1,0.21,0.1,0.1,0,0.31
22Month,0,0.55,0,1.37,0.68,0,0.41,4.1,0.14,16.67,0.14,2.6,0.27,0.14,0.68,2.05,0.96,0.41,0,0,0.27,0.41,0,0.55,0,0.41
