stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,4.51,0.28,0.28,0.28,0,0,0,0,0
21Day,0.37,0.37,0.74,0,0,0.37,0.74,1.48,2.96,0.37,0.74,0,0.74,0,0.37,0.37,0.37
22Month,0,0.14,0,0.27,0.14,0,0.14,0,0,0,0,0,0,0.14,0,0,0
