stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0.28,1.13,0,0,0.28,0,0,0.28,0,0,0,0
21Day,0,0,0,1.48,0,0,0,0.37,0,0,0,1.11,0,0.37,0.74,0,1.11,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,1.11
3Month,0.1,0.94,0.1,17.06,0.31,0.31,2.18,3.74,0,4.47,1.35,0.62,8.53,0.94,2.91,3.43,1.04,0.31,0,0.42,0.62,0.62,0,0.94,0.1,0.1,0.42,3.74,0.1,0,0.73,0.83,12.17
22Month,0,0.68,0.41,3.55,0.55,0.14,0.96,1.23,0.27,8.34,0.55,0.82,5.19,0.14,1.09,2.73,1.91,0,0.68,0.14,0,0.14,0,0.55,0,0.27,0,0.96,0,0.14,0,0,2.73
