stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,16,0,1,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,2.54,0,0,0,0,0,0,0,0,0,1.13,1.41,0,0.28,0,0.28,0.85,11.56,5.64,0.28,0,0,0,0,0.56,0,0,0
21Day,0.37,0.37,1.11,3.7,1.48,0,0,0,0,0,0,0.37,0,0,0.74,0,0.37,0,0,0,0,1.11,0.74,0.74,0,0,0,0.37,0,0,0,0
3Month,0,0.42,0.94,20.6,1.35,0,0.1,0.62,0.42,0,1.77,0.62,0.1,0.42,14.46,0.42,0.52,0.52,0.1,0.31,2.7,1.56,0.52,0.62,0,0.1,0.83,0,0.21,0.1,6.87,0.1
22Month,0,0,0,3.69,0,0.14,0,0.14,0.14,0.27,0.68,0,0,0.27,2.19,0,0.41,0,0,0,0.14,0.14,0,0.41,0,0,0.55,0,0,0,0,0.14
