stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.13,0,4.79,0.56,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0.56,10.71,0,9.58,0,0,0,0,1.13,0.56,0,0,5.92,0,0.28,0.28,0.28,0,0,0
21Day,2.59,0,0.37,53.28,0,1.85,0,0,0,0.37,0,0,0,0.37,0,0,0,3.33,44.03,1.48,21.83,0,0,1.85,0,2.96,1.85,0,0.74,6.29,1.48,0,0.74,0.74,0,0,0.37
3Month,0.21,0.62,0.21,154.67,0,0,0.42,0,0.21,0.73,1.46,0,0,4.78,1.77,0.31,2.5,9.57,26.63,8.32,7.39,1.14,0,0.31,0.42,0.94,0,0.42,0.42,0,1.25,1.56,0.1,0,3.95,1.14,1.25
22Month,0,0.96,0.96,47.69,0,0,0.14,0.14,0,0.41,1.5,0.14,0,3.69,0,0.14,0.68,2.19,8.06,3.83,7.52,0,0.14,0.27,0,0.41,0,0.14,0,0,0,3.55,0,0,0.14,0,0.41
