stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6,0,0,0,0,4,15,0,0,0,1,0,0,0,1,0,0,0
72hpf,0,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0.56,0,0.28,0,0,1.69,1.41,0,0,0,0.85,0.28,1.13,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0.74,0,0,0.74,0,0,0.37,0,0,0,0,0,0.74,0.37,0.37,0,0,0.37,0,5.92,0,0,0,0,0
3Month,0.31,1.66,1.14,37.34,0.1,1.25,0.21,6.03,3.02,0,0,16.54,5.1,0.52,19.56,2.18,14.87,4.47,4.47,0.94,0.21,2.18,1.46,1.98,0.52,3.33,0.31,0,0.1,4.06,533.71,0.31,0,2.18,21.95,2.39
22Month,0.14,0.27,0.55,5.06,0.14,0.14,0,1.5,1.78,1.78,0,16.67,1.09,0.27,12.98,0.41,0.82,1.23,2.05,0,0.82,0.68,0,0.68,0,0.55,0.14,1.78,0.27,0.55,105.49,0.14,0,0,0.14,0.41
