stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0.28,0,10.71,0,0,0,0,3.38,1.69,0,0,0.56,0,0,0.28,0.28,0,0
21Day,2.22,0,2.96,0,1.48,0.37,0,0,0.74,0,0,0.74,0,0.74,0,12.95,0,0,0.37,0,2.22,0.37,0,0.37,1.11,0.74,0,0,0,0.37,0.37
3Month,0,0.1,0.42,0,0,0,0.21,0,1.25,0.21,0,0.42,0.1,0.1,0.42,0.21,0.21,0,0,0.1,0.1,0,0,0,0,0,0.21,0,0,0,0.1
22Month,0,0,0.96,0,0,0,0.14,0.14,6.83,0.14,0.27,0.41,0,0.41,0.55,1.5,0,0.14,0,0,0,0,0.14,0.14,0,0,0.27,0.14,0,0,0.14
