stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.54,0,0,0,0,0,0,0,0,0.28,0,3.38,6.76,0,0.56,0,0.28,0,0,0.56,0.56,0,0,0.28,0,0,0.28,0,0,0,0
21Day,0.37,1.48,22.94,0.37,0,0.74,0.37,0.37,0,0,0.37,4.07,2.22,1.85,9.25,1.11,1.48,0,0,0,0,0.74,0,0.37,0,0,0,0,0,0,0,0,0.37
3Month,0.62,0.73,36.93,0,0.83,0.52,3.85,1.25,0,4.26,3.95,0.52,33.81,1.56,11.86,1.14,1.66,0.42,0,0.62,0.83,0.1,0,0.1,0,0,0.42,0.73,0,0.1,0.62,0.21,1.25
22Month,0.41,2.05,7.52,0,0.41,0,2.87,1.91,0.41,6.01,1.09,1.09,39.9,0.14,1.64,2.05,1.5,0,0.27,0.14,0,0.41,0,0.27,0.14,0.27,0,0.68,0,0.14,0.27,0,0.82
