stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,19,158,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.51,1.41,0,3.66,1.97,3.1,0,0,0,0,0,0,0.28,0,1.13,7.61,0.56,4.51,0.56,0.56,759.3,119.5,0,1.13,10.43,0,0,7.61,1.41,0.28,0,0,0,0
21Day,2.22,0,0.37,2.96,0.74,6.66,0,0,0,0.37,0,0.37,0.74,0.37,0.37,4.07,0.74,6.29,0,0,155.76,32.19,0.37,2.59,2.59,5.92,0,0.37,1.11,2.59,0.37,0.37,0,1.11
3Month,0,0.94,0.21,1.25,0,0,0.1,0,0.1,0.52,3.43,0.52,0,0.31,0,0.31,0.62,1.87,0,0.1,0.31,0,0,0.52,0,0.31,2.91,0,0,0,0,0.1,0.83,0.21
22Month,0,0.55,0,0.41,0,0,0.14,0.14,0.14,0.41,8.2,0,0.41,0.82,0.14,0,0.68,0.96,0.41,0.41,0.14,0.14,0,1.78,0,0,0.41,0,0,0,0,0,0,0.14
